Crop,Nitrogen_N,Phosphorus_P,Potassium_K,pH,Rainfall_mm,Temperature_C,Humidity_percent,Land_Size_hectares,Scheme
Orange,37.8,26.8,8.1,6.6,109.1,29.5,95.0,2.76,Paramparagat Krishi
Maize,63.9,58.6,24.7,6.5,69.3,22.8,59.3,1.45,Kisan Credit Card
Chickpea,49.2,64.5,79.3,6.4,69.8,20.1,19.6,2.44,Paramparagat Krishi
Watermelon,105.2,22.3,49.4,6.4,50.9,24.8,86.1,4.95,Soil Health Card
Maize,61.7,59.2,23.5,6.5,65.7,18.1,73.0,4.16,None
Papaya,44.6,52.3,50.0,6.6,131.5,28.1,93.9,2.19,None
Mungbean,22.1,52.0,23.7,7.0,59.1,29.1,83.7,2.14,State Subsidy A
Mango,37.9,23.0,30.0,6.0,95.6,33.5,54.1,2.55,PM-Kisan
Papaya,40.9,68.9,50.3,6.5,215.9,43.9,93.9,0.72,PM-Kisan
Blackgram,56.1,67.3,19.2,7.4,61.3,27.4,64.4,3.02,PM-Kisan
Mungbean,32.1,48.3,19.0,6.8,36.8,28.7,89.5,3.54,Fasal Bima Yojana
Pigeonpeas,23.8,56.3,19.6,6.4,102.2,28.2,56.5,1.54,Paramparagat Krishi
Mothbeans,31.6,37.7,21.6,6.7,40.8,28.0,49.4,1.42,PM-Kisan
Muskmelon,104.1,17.5,51.9,6.1,29.7,28.1,93.2,1.27,PM-Kisan
Lentil,16.7,66.7,23.5,7.1,38.2,21.2,61.0,2.38,Kisan Credit Card
Orange,17.7,20.8,5.2,6.9,117.7,17.1,93.0,6.74,Kisan Credit Card
Papaya,38.6,66.2,54.6,6.7,172.6,41.9,92.8,3.2,Soil Health Card
Lentil,34.2,60.4,15.8,6.1,42.5,20.3,64.0,3.61,Paramparagat Krishi
Mungbean,24.5,50.4,24.4,6.3,50.8,27.7,81.4,3.86,Fasal Bima Yojana
Chickpea,30.5,78.8,75.1,7.0,85.5,20.9,24.4,1.7,PM-Kisan
Kidneybeans,37.9,62.7,19.7,5.5,130.2,18.9,22.7,1.51,PM-Kisan
Orange,26.8,27.0,14.5,6.4,114.2,31.4,92.6,2.83,Kisan Credit Card
Rice,79.7,38.2,42.4,6.6,274.9,21.0,85.8,2.93,Kisan Credit Card
Mungbean,16.3,43.9,23.9,6.3,49.7,29.5,83.2,2.3,None
Banana,91.3,95.0,50.0,6.2,100.4,25.5,83.9,1.01,Fasal Bima Yojana
Jute,61.1,59.2,41.2,6.7,182.4,23.8,79.3,3.76,PM-Kisan
Chickpea,45.4,55.1,83.7,6.1,81.8,19.4,17.2,0.83,PM-Kisan
Lentil,35.9,55.7,20.1,6.4,40.9,26.1,66.8,3.03,Paramparagat Krishi
Cotton,121.0,36.0,20.0,6.2,77.0,25.8,55.4,2.42,Kisan Credit Card
Papaya,47.0,56.2,54.1,6.7,203.1,26.7,94.8,3.21,State Subsidy A
Cotton,132.5,36.4,21.2,6.9,82.0,25.8,56.2,1.8,PM-Kisan
Coffee,84.3,26.3,31.7,6.9,149.5,25.4,64.5,2.56,Fasal Bima Yojana
Lentil,18.0,57.2,23.3,7.3,41.1,25.3,69.4,3.33,None
Maize,78.4,35.4,20.9,6.0,67.6,26.9,71.9,1.5,Kisan Credit Card
Mothbeans,23.9,55.8,19.9,6.8,56.0,28.9,59.7,1.83,Paramparagat Krishi
Maize,80.4,52.6,24.1,5.8,80.9,26.2,67.0,2.78,Fasal Bima Yojana
Lentil,20.3,63.4,17.6,7.5,36.5,21.2,66.9,1.37,Fasal Bima Yojana
Lentil,39.6,73.6,24.9,7.2,49.2,28.4,62.7,2.59,Fasal Bima Yojana
Mothbeans,18.6,37.4,19.5,5.5,44.6,24.9,48.9,5.37,Paramparagat Krishi
Banana,96.0,72.8,47.3,6.3,98.6,29.4,77.8,1.6,PM-Kisan
Rice,82.7,53.6,38.2,6.4,187.3,26.9,83.9,0.67,Paramparagat Krishi
Chickpea,28.5,64.2,77.1,7.4,77.3,17.1,17.6,3.78,Soil Health Card
Pomegranate,34.4,28.3,38.9,6.4,104.4,18.8,89.6,0.81,Kisan Credit Card
Apple,29.4,125.0,202.4,6.2,104.9,21.9,91.4,2.83,Fasal Bima Yojana
Chickpea,22.8,68.5,83.6,6.8,71.8,20.9,17.8,1.57,Fasal Bima Yojana
Apple,35.2,144.9,200.4,6.4,102.3,21.6,94.4,5.68,Soil Health Card
Pigeonpeas,20.7,55.7,24.6,6.8,128.0,27.0,55.8,1.51,PM-Kisan
Muskmelon,117.9,22.5,54.4,6.6,23.8,27.3,92.8,3.66,Paramparagat Krishi
Mungbean,20.4,53.3,20.7,7.0,44.9,27.2,87.7,2.88,Kisan Credit Card
Pomegranate,35.2,29.4,36.7,6.5,117.0,18.0,93.0,8.32,Kisan Credit Card
Cotton,127.2,51.1,19.7,6.3,75.8,24.2,61.1,1.55,Kisan Credit Card
Lentil,37.5,64.6,16.3,6.2,39.6,27.4,69.8,0.61,Kisan Credit Card
Maize,76.2,35.3,17.0,6.1,76.2,18.8,65.2,4.31,State Subsidy A
Kidneybeans,39.3,58.2,22.4,5.7,105.6,23.8,28.2,2.0,State Subsidy A
Orange,29.4,26.3,12.0,6.0,111.4,14.4,94.7,1.89,PM-Kisan
Pomegranate,25.3,20.1,40.0,6.6,103.9,18.5,90.1,1.14,Fasal Bima Yojana
Kidneybeans,29.1,62.8,21.4,5.7,118.8,20.1,28.3,3.5,Soil Health Card
Papaya,37.8,58.7,46.2,6.8,130.9,42.3,93.4,1.28,PM-Kisan
Pomegranate,29.1,28.3,40.0,5.8,111.4,23.4,91.3,5.6,State Subsidy A
Mungbean,24.7,44.0,23.0,6.6,42.2,27.0,88.3,3.01,State Subsidy A
Orange,15.1,26.7,8.8,7.5,108.9,33.5,90.6,2.68,Fasal Bima Yojana
Chickpea,57.4,59.7,78.7,6.5,76.8,19.8,22.1,3.96,None
Mango,24.6,38.2,28.4,5.3,95.8,34.9,48.6,2.33,None
Blackgram,43.6,59.3,18.7,6.5,65.1,27.1,63.4,6.19,Kisan Credit Card
Kidneybeans,27.3,72.5,20.5,5.5,95.5,17.8,21.3,4.5,Kisan Credit Card
Mothbeans,33.2,48.9,15.4,7.3,30.6,26.1,53.1,6.34,Soil Health Card
Jute,86.0,55.5,43.6,6.4,153.6,25.3,86.7,2.5,Paramparagat Krishi
Jute,62.1,43.4,43.3,6.7,170.9,25.7,82.4,5.33,Kisan Credit Card
Mango,17.3,16.3,27.8,5.6,87.8,34.9,51.2,2.07,Soil Health Card
Maize,68.5,39.6,22.2,6.2,74.8,26.0,63.1,2.88,Soil Health Card
Banana,105.9,76.2,53.5,5.6,90.9,29.9,76.4,1.93,PM-Kisan
Mothbeans,17.0,36.6,20.6,6.5,62.4,27.4,64.8,1.81,PM-Kisan
Coffee,92.6,26.4,28.5,7.3,160.0,27.4,57.5,2.84,Fasal Bima Yojana
Watermelon,82.8,22.8,53.9,7.0,45.2,26.1,83.4,2.9,None
Cotton,131.1,56.0,15.4,7.4,81.4,23.7,56.2,1.43,Kisan Credit Card
Muskmelon,107.5,18.5,45.7,6.7,29.9,28.1,92.1,0.66,Fasal Bima Yojana
Apple,19.6,123.6,200.8,5.6,114.0,22.4,91.2,2.03,Paramparagat Krishi
Papaya,35.2,64.3,46.0,6.8,206.2,24.1,93.1,2.35,Kisan Credit Card
Coconut,37.2,17.4,30.7,6.2,194.4,26.9,96.4,1.36,Fasal Bima Yojana
Banana,108.2,72.5,48.6,6.0,109.9,27.5,80.1,4.26,Kisan Credit Card
Mungbean,37.0,59.8,17.2,6.9,57.9,29.9,85.2,4.03,State Subsidy A
Cotton,136.4,59.9,16.5,6.2,61.1,24.8,59.8,1.32,PM-Kisan
Chickpea,37.4,73.6,75.8,7.6,85.8,18.7,19.2,0.97,Fasal Bima Yojana
Coffee,96.7,23.7,31.4,7.1,197.6,27.7,58.9,2.11,State Subsidy A
Orange,36.6,19.6,13.4,7.0,118.7,19.3,93.3,4.32,PM-Kisan
Kidneybeans,16.2,78.5,23.4,5.9,132.6,22.4,28.0,2.41,Soil Health Card
Grapes,31.7,134.5,195.8,5.9,69.6,15.8,82.4,1.12,Kisan Credit Card
Apple,18.2,135.0,203.1,5.7,110.6,22.6,95.0,3.01,Soil Health Card
Cotton,131.7,59.5,17.9,7.5,65.5,23.1,69.1,2.96,Kisan Credit Card
Lentil,36.7,70.0,15.0,7.2,39.0,21.6,61.6,4.47,Paramparagat Krishi
Mothbeans,29.1,48.9,23.8,6.0,36.4,28.8,63.7,1.06,PM-Kisan
Watermelon,82.1,15.5,53.3,6.8,41.3,24.7,82.6,4.26,Paramparagat Krishi
Mothbeans,29.9,51.6,21.8,5.1,59.7,25.1,40.8,1.73,PM-Kisan
Pomegranate,35.9,23.9,37.3,6.9,104.4,24.0,94.2,2.9,Kisan Credit Card
Jute,60.8,53.4,44.0,7.2,171.5,24.7,80.6,2.88,PM-Kisan
Rice,84.0,46.6,36.1,6.7,275.7,25.4,91.6,2.91,State Subsidy A
Rice,69.6,52.4,41.1,7.2,256.4,24.1,85.3,2.56,Paramparagat Krishi
Blackgram,49.6,55.8,24.7,6.6,71.7,27.0,63.1,1.8,Kisan Credit Card
Chickpea,20.1,67.2,84.6,7.8,72.3,19.5,16.6,2.77,Soil Health Card
Banana,103.7,85.9,45.1,6.4,96.5,26.8,84.9,1.04,Kisan Credit Card
Pigeonpeas,25.6,65.1,17.0,6.2,151.4,24.8,40.9,2.72,Kisan Credit Card
Muskmelon,103.5,19.9,50.9,6.4,22.1,28.2,90.5,1.05,PM-Kisan
Chickpea,27.8,73.9,80.2,7.8,74.7,20.1,23.2,3.07,None
Rice,87.5,57.1,41.4,6.0,216.9,25.3,86.6,3.77,Fasal Bima Yojana
Coconut,18.1,20.4,25.0,6.0,210.1,25.6,92.2,3.43,None
Mango,33.8,17.6,29.5,6.3,96.2,33.6,49.7,4.31,Paramparagat Krishi
Chickpea,24.7,61.2,76.9,7.1,65.8,21.4,16.4,4.78,State Subsidy A
Jute,69.3,53.6,36.0,6.4,159.4,25.3,80.1,5.15,Paramparagat Krishi
Jute,72.8,51.2,36.5,7.4,187.5,23.9,81.0,1.17,Soil Health Card
Muskmelon,84.5,28.0,47.9,6.2,25.3,28.1,92.8,2.09,None
Orange,30.3,25.0,7.8,6.6,108.1,11.8,94.5,1.54,PM-Kisan
Papaya,32.3,45.0,45.3,6.7,233.0,28.7,93.3,2.12,PM-Kisan
Kidneybeans,28.7,80.0,24.3,5.5,114.6,24.0,23.4,3.7,Kisan Credit Card
Rice,72.2,59.4,44.6,7.2,210.4,24.1,81.7,0.91,Kisan Credit Card
Mothbeans,30.5,48.9,18.3,5.8,32.6,30.2,63.6,4.78,PM-Kisan
