Crop,Nitrogen_N,Phosphorus_P,Potassium_K,pH,Rainfall_mm,Temperature_C,Humidity_percent,Land_Size_hectares,Scheme
Pulses,71,29,91,6.89,2038,26.15,45.0,4.86,PM-KISAN
Maize,41,67,21,7.39,1615,39.81,70.87,6.31,Soil Health Card Scheme
Spices,111,74,99,5.43,962,24.56,89.16,4.93,Soil Health Card Scheme
Pulses,40,53,37,8.3,2461,35.21,55.23,1.43,PM-KISAN
Pulses,63,22,66,5.19,2355,19.56,77.77,4.54,Soil Health Card Scheme
Wheat,109,58,53,6.08,1395,29.95,86.09,1.34,PM-KISAN
Vegetables,104,67,43,5.93,1163,30.18,53.8,3.31,PM-KISAN
Fruits,90,23,20,5.29,1895,15.35,49.94,7.26,PM Fasal Bima Yojana
Jute,125,55,47,7.95,2263,26.24,44.77,4.02,PM Fasal Bima Yojana
Jute,118,58,54,6.39,1885,36.22,76.09,2.74,PM-KISAN
Spices,61,65,82,8.08,963,29.08,74.78,1.82,PM-KISAN
Cotton,32,46,90,5.66,2219,38.24,80.41,6.52,PM Fasal Bima Yojana
Cotton,49,76,94,5.8,2438,37.4,55.9,1.55,PM Fasal Bima Yojana
Cotton,96,17,89,6.54,1048,27.12,74.62,3.06,PM-KISAN
Vegetables,124,66,81,8.39,963,21.17,74.82,7.27,Paramparagat Krishi Vikas Yojana
Rice,21,16,73,4.63,2159,37.71,51.98,1.88,PM-KISAN
Sugarcane,51,69,94,5.98,800,33.21,58.39,6.51,Soil Health Card Scheme
Rice,92,73,89,7.28,2194,29.77,73.88,0.66,PM-KISAN
Maize,39,66,52,6.09,1040,31.89,76.76,2.49,Soil Health Card Scheme
Spices,118,21,35,7.77,1416,27.92,53.04,9.96,Soil Health Card Scheme
Jute,56,46,28,5.62,2082,33.15,84.86,8.93,PM Fasal Bima Yojana
Vegetables,135,50,57,7.18,653,15.23,45.07,6.8,Soil Health Card Scheme
Sugarcane,54,75,60,5.2,2003,20.93,56.27,7.59,PM Fasal Bima Yojana
Pulses,86,31,52,6.67,1354,24.19,53.26,2.82,Paramparagat Krishi Vikas Yojana
Maize,73,22,46,6.24,1197,31.13,73.45,8.71,PM Fasal Bima Yojana
Cotton,54,78,68,4.67,1643,26.75,53.98,8.89,Soil Health Card Scheme
Jute,43,60,72,6.79,1099,36.33,54.72,4.16,PM Fasal Bima Yojana
Maize,37,39,73,7.28,2295,16.76,50.45,6.88,PM Fasal Bima Yojana
Spices,36,47,28,7.31,1900,22.41,60.99,2.93,Soil Health Card Scheme
Spices,26,71,55,7.69,799,16.27,84.33,0.76,PM-KISAN
Pulses,82,65,44,5.12,1548,35.97,83.02,2.88,Soil Health Card Scheme
Jute,116,22,72,5.59,404,26.43,82.1,2.35,PM Fasal Bima Yojana
Maize,74,54,71,5.03,769,27.91,56.15,8.05,PM Fasal Bima Yojana
